uf,ano,cultura,target,target_label,modelo,status,valor_real,valor_predito
RN,2022,Cana_de_acucar,area_plantada_ha,Area plantada,Regressao Linear,baseline,68626.0,18698.257892278954
RN,2022,Mandioca,area_plantada_ha,Area plantada,Regressao Linear,baseline,22216.0,0.0
RN,2022,Milho,area_plantada_ha,Area plantada,Regressao Linear,baseline,60387.0,247240.13201815303
RN,2022,Soja,area_plantada_ha,Area plantada,Regressao Linear,baseline,0.0,815757.2229272444
RO,2022,Cana_de_acucar,area_plantada_ha,Area plantada,Regressao Linear,baseline,502.0,77317.0872589997
RO,2022,Mandioca,area_plantada_ha,Area plantada,Regressao Linear,baseline,18968.0,0.0
RO,2022,Milho,area_plantada_ha,Area plantada,Regressao Linear,baseline,322237.0,305858.9613848736
RO,2022,Soja,area_plantada_ha,Area plantada,Regressao Linear,baseline,489526.0,874376.0522939651
RS,2022,Cana_de_acucar,area_plantada_ha,Area plantada,Regressao Linear,baseline,13171.0,1589857.129847485
RS,2022,Mandioca,area_plantada_ha,Area plantada,Regressao Linear,baseline,45952.0,1262143.0948824498
RS,2022,Milho,area_plantada_ha,Area plantada,Regressao Linear,baseline,784000.0,1818399.0039733592
RS,2022,Soja,area_plantada_ha,Area plantada,Regressao Linear,baseline,6387670.0,2386916.094882451
SC,2022,Cana_de_acucar,area_plantada_ha,Area plantada,Regressao Linear,baseline,3877.0,278252.3430387561
SC,2022,Mandioca,area_plantada_ha,Area plantada,Regressao Linear,baseline,15164.0,0.0
SC,2022,Milho,area_plantada_ha,Area plantada,Regressao Linear,baseline,337104.0,506794.21716463007
SC,2022,Soja,area_plantada_ha,Area plantada,Regressao Linear,baseline,754520.0,1075311.3080737216
SE,2022,Cana_de_acucar,area_plantada_ha,Area plantada,Regressao Linear,baseline,40494.0,0.0
SE,2022,Mandioca,area_plantada_ha,Area plantada,Regressao Linear,baseline,12587.0,0.0
SE,2022,Milho,area_plantada_ha,Area plantada,Regressao Linear,baseline,176093.0,128053.61024295137
SE,2022,Soja,area_plantada_ha,Area plantada,Regressao Linear,baseline,0.0,696570.701152043
SP,2022,Cana_de_acucar,area_plantada_ha,Area plantada,Regressao Linear,baseline,5502458.0,1854537.9502300732
SP,2022,Mandioca,area_plantada_ha,Area plantada,Regressao Linear,baseline,61540.0,1526823.915265038
SP,2022,Milho,area_plantada_ha,Area plantada,Regressao Linear,baseline,832407.0,2083079.824355947
SP,2022,Soja,area_plantada_ha,Area plantada,Regressao Linear,baseline,1252070.0,2651596.9152650386
TO,2022,Cana_de_acucar,area_plantada_ha,Area plantada,Regressao Linear,baseline,29918.0,271003.98912928766
TO,2022,Mandioca,area_plantada_ha,Area plantada,Regressao Linear,baseline,16651.0,0.0
TO,2022,Milho,area_plantada_ha,Area plantada,Regressao Linear,baseline,422261.0,499545.8632551618
TO,2022,Soja,area_plantada_ha,Area plantada,Regressao Linear,baseline,1167122.0,1068062.9541642533
AC,2023,Cana_de_acucar,area_plantada_ha,Area plantada,Regressao Linear,baseline,465.0,189844.3768627405
AC,2023,Mandioca,area_plantada_ha,Area plantada,Regressao Linear,baseline,22025.0,0.0
AC,2023,Milho,area_plantada_ha,Area plantada,Regressao Linear,baseline,40831.0,418386.2509886146
AC,2023,Soja,area_plantada_ha,Area plantada,Regressao Linear,baseline,12010.0,986903.3418977062
AL,2023,Cana_de_acucar,area_plantada_ha,Area plantada,Regressao Linear,baseline,290003.0,228452.97424423468
AL,2023,Mandioca,area_plantada_ha,Area plantada,Regressao Linear,baseline,34032.0,0.0
AL,2023,Milho,area_plantada_ha,Area plantada,Regressao Linear,baseline,54358.0,456994.8483701086
AL,2023,Soja,area_plantada_ha,Area plantada,Regressao Linear,baseline,5796.0,1025511.9392792
AM,2023,Cana_de_acucar,area_plantada_ha,Area plantada,Regressao Linear,baseline,4732.0,187206.8399004828
AM,2023,Mandioca,area_plantada_ha,Area plantada,Regressao Linear,baseline,66153.0,0.0
AM,2023,Milho,area_plantada_ha,Area plantada,Regressao Linear,baseline,3340.0,415748.71402635693
AM,2023,Soja,area_plantada_ha,Area plantada,Regressao Linear,baseline,8237.0,984265.8049354485
AP,2023,Cana_de_acucar,area_plantada_ha,Area plantada,Regressao Linear,baseline,236.0,160339.60514197417
AP,2023,Mandioca,area_plantada_ha,Area plantada,Regressao Linear,baseline,9821.0,0.0
AP,2023,Milho,area_plantada_ha,Area plantada,Regressao Linear,baseline,2372.0,388881.4792678483
AP,2023,Soja,area_plantada_ha,Area plantada,Regressao Linear,baseline,7350.0,957398.57017694
BA,2023,Cana_de_acucar,area_plantada_ha,Area plantada,Regressao Linear,baseline,77268.0,718933.2135596789
BA,2023,Mandioca,area_plantada_ha,Area plantada,Regressao Linear,baseline,105144.0,391219.17859464354
BA,2023,Milho,area_plantada_ha,Area plantada,Regressao Linear,baseline,694618.0,947475.0876855528
BA,2023,Soja,area_plantada_ha,Area plantada,Regressao Linear,baseline,1923627.0,1515992.1785946442
CE,2023,Cana_de_acucar,area_plantada_ha,Area plantada,Regressao Linear,baseline,8725.0,317761.4577778357
CE,2023,Mandioca,area_plantada_ha,Area plantada,Regressao Linear,baseline,67122.0,0.0
CE,2023,Milho,area_plantada_ha,Area plantada,Regressao Linear,baseline,600298.0,546303.3319037098
CE,2023,Soja,area_plantada_ha,Area plantada,Regressao Linear,baseline,4944.0,1114820.4228128013
DF,2023,Cana_de_acucar,area_plantada_ha,Area plantada,Regressao Linear,baseline,205.0,171256.1082645107
DF,2023,Mandioca,area_plantada_ha,Area plantada,Regressao Linear,baseline,1250.0,0.0
DF,2023,Milho,area_plantada_ha,Area plantada,Regressao Linear,baseline,55500.0,399797.98239038466
DF,2023,Soja,area_plantada_ha,Area plantada,Regressao Linear,baseline,85000.0,968315.0732994762
ES,2023,Cana_de_acucar,area_plantada_ha,Area plantada,Regressao Linear,baseline,53123.0,237486.14355279843
ES,2023,Mandioca,area_plantada_ha,Area plantada,Regressao Linear,baseline,7705.0,0.0
ES,2023,Milho,area_plantada_ha,Area plantada,Regressao Linear,baseline,18305.0,466028.01767867245
ES,2023,Soja,area_plantada_ha,Area plantada,Regressao Linear,baseline,1000.0,1034545.1085877639
GO,2023,Cana_de_acucar,area_plantada_ha,Area plantada,Regressao Linear,baseline,978329.0,1477259.4647035017
GO,2023,Mandioca,area_plantada_ha,Area plantada,Regressao Linear,baseline,12486.0,1149545.4297384664
GO,2023,Milho,area_plantada_ha,Area plantada,Regressao Linear,baseline,2181640.0,1705801.3388293756
GO,2023,Soja,area_plantada_ha,Area plantada,Regressao Linear,baseline,4560730.0,2274318.429738467
MA,2023,Cana_de_acucar,area_plantada_ha,Area plantada,Regressao Linear,baseline,45096.0,480110.4631654812
MA,2023,Mandioca,area_plantada_ha,Area plantada,Regressao Linear,baseline,49913.0,152396.4282004459
MA,2023,Milho,area_plantada_ha,Area plantada,Regressao Linear,baseline,535302.0,708652.3372913552
MA,2023,Soja,area_plantada_ha,Area plantada,Regressao Linear,baseline,1190047.0,1277169.4282004468
MG,2023,Cana_de_acucar,area_plantada_ha,Area plantada,Regressao Linear,baseline,1058212.0,1102041.4294881637
MG,2023,Mandioca,area_plantada_ha,Area plantada,Regressao Linear,baseline,39536.0,774327.3945231284
MG,2023,Milho,area_plantada_ha,Area plantada,Regressao Linear,baseline,1228588.0,1330583.3036140376
MG,2023,Soja,area_plantada_ha,Area plantada,Regressao Linear,baseline,2214362.0,1899100.394523129
MS,2023,Cana_de_acucar,area_plantada_ha,Area plantada,Regressao Linear,baseline,660722.0,1296977.579855
MS,2023,Mandioca,area_plantada_ha,Area plantada,Regressao Linear,baseline,52083.0,969263.5448899645
MS,2023,Milho,area_plantada_ha,Area plantada,Regressao Linear,baseline,2395909.0,1525519.4539808738
MS,2023,Soja,area_plantada_ha,Area plantada,Regressao Linear,baseline,3884468.0,2094036.5448899653
