"Tabela 5457 - Área plantada ou destinada à colheita, área colhida, quantidade produzida, rendimento médio e valor da produção das lavouras temporárias e permanentes"
"Variável - Área plantada ou destinada à colheita (Hectares)"
"Unidade da Federação";"Ano x Produto das lavouras temporárias e permanentes"
"Unidade da Federação";"2010";;;;"2011";;;;"2012";;;;"2013";;;;"2014";;;;"2015";;;;"2016";;;;"2017";;;;"2018";;;;"2019";;;;"2020";;;;"2021";;;;"2022";;;;"2023";;;;"2024"
"Unidade da Federação";"Cana-de-açúcar";"Mandioca";"Milho (em grão)";"Soja (em grão)";"Cana-de-açúcar";"Mandioca";"Milho (em grão)";"Soja (em grão)";"Cana-de-açúcar";"Mandioca";"Milho (em grão)";"Soja (em grão)";"Cana-de-açúcar";"Mandioca";"Milho (em grão)";"Soja (em grão)";"Cana-de-açúcar";"Mandioca";"Milho (em grão)";"Soja (em grão)";"Cana-de-açúcar";"Mandioca";"Milho (em grão)";"Soja (em grão)";"Cana-de-açúcar";"Mandioca";"Milho (em grão)";"Soja (em grão)";"Cana-de-açúcar";"Mandioca";"Milho (em grão)";"Soja (em grão)";"Cana-de-açúcar";"Mandioca";"Milho (em grão)";"Soja (em grão)";"Cana-de-açúcar";"Mandioca";"Milho (em grão)";"Soja (em grão)";"Cana-de-açúcar";"Mandioca";"Milho (em grão)";"Soja (em grão)";"Cana-de-açúcar";"Mandioca";"Milho (em grão)";"Soja (em grão)";"Cana-de-açúcar";"Mandioca";"Milho (em grão)";"Soja (em grão)";"Cana-de-açúcar";"Mandioca";"Milho (em grão)";"Soja (em grão)";"Cana-de-açúcar";"Mandioca";"Milho (em grão)";"Soja (em grão)"
"Mato Grosso do Sul";"399408";"26690";"873777";"1732297";"495821";"30338";"964913";"1738091";"558664";"30902";"1244604";"1812968";"642686";"33058";"1537810";"1986894";"639899";"39730";"1595232";"2157824";"545650";"44241";"1681672";"2350817";"658282";"34159";"1678387";"2413322";"661906";"31805";"1831970";"2620622";"680611";"33095";"1899424";"2713062";"727753";"37355";"1983292";"2881577";"666447";"39915";"1972979";"3121490";"673388";"43760";"1957745";"3375260";"631534";"43154";"2379009";"3653429";"660722";"52064";"2395854";"3884468";"672523";"55555";"2195532";"4039160"
"Mato Grosso";"212498";"35466";"2011742";"6226452";"226993";"25067";"1921101";"6454331";"246298";"23891";"2740553";"6980690";"282741";"23236";"3416701";"7913687";"276025";"22566";"3330803";"8613593";"289091";"19555";"3570606";"8966679";"276306";"19448";"3736321";"9102722";"273273";"19093";"4784797";"9264356";"283780";"20218";"4417207";"9437849";"296113";"19887";"5026279";"9724149";"265062";"17816";"5318762";"9989649";"249650";"17720";"5808096";"10450212";"227879";"18287";"6414777";"10924622";"238056";"17921";"7429526";"11981285";"241946";"14648";"7078685";"12351963"
"Goiás";"578666";"21157";"858301";"2445600";"697541";"18315";"960792";"2560508";"732870";"18459";"1221160";"2669894";"860482";"9995";"1229994";"2947887";"894843";"12456";"1404928";"3176995";"930052";"12721";"1401843";"3260025";"931242";"13078";"1337699";"3310548";"922717";"13272";"1633471";"3331608";"947391";"12690";"1500108";"3314668";"946970";"12044";"1667787";"3400555";"928031";"11667";"1731660";"3577700";"926609";"11423";"1860245";"3857007";"931090";"11624";"1907212";"4121969";"978329";"12449";"2181640";"4560730";"1015810";"11536";"2158782";"4940502"
"Distrito Federal";"923";"814";"32702";"55402";"883";"720";"32532";"54854";"717";"924";"49442";"55050";"450";"1309";"53218";"52500";"470";"1124";"71296";"72000";"456";"936";"65222";"68862";"296";"1128";"70163";"70875";"375";"1059";"65334";"70000";"205";"1250";"63600";"71500";"205";"1250";"64000";"75000";"205";"1250";"61200";"74500";"205";"1250";"60000";"80000";"287";"1250";"60000";"84200";"205";"1250";"55500";"85000";"205";"883";"53000";"85000"
"Fonte: IBGE - Produção Agrícola Municipal"

"Tabela 5457 - Área plantada ou destinada à colheita, área colhida, quantidade produzida, rendimento médio e valor da produção das lavouras temporárias e permanentes"
"Variável - Área colhida - percentual do total geral"
"Unidade da Federação";"Ano x Produto das lavouras temporárias e permanentes"
"Unidade da Federação";"2010";;;;"2011";;;;"2012";;;;"2013";;;;"2014";;;;"2015";;;;"2016";;;;"2017";;;;"2018";;;;"2019";;;;"2020";;;;"2021";;;;"2022";;;;"2023";;;;"2024"
"Unidade da Federação";"Cana-de-açúcar";"Mandioca";"Milho (em grão)";"Soja (em grão)";"Cana-de-açúcar";"Mandioca";"Milho (em grão)";"Soja (em grão)";"Cana-de-açúcar";"Mandioca";"Milho (em grão)";"Soja (em grão)";"Cana-de-açúcar";"Mandioca";"Milho (em grão)";"Soja (em grão)";"Cana-de-açúcar";"Mandioca";"Milho (em grão)";"Soja (em grão)";"Cana-de-açúcar";"Mandioca";"Milho (em grão)";"Soja (em grão)";"Cana-de-açúcar";"Mandioca";"Milho (em grão)";"Soja (em grão)";"Cana-de-açúcar";"Mandioca";"Milho (em grão)";"Soja (em grão)";"Cana-de-açúcar";"Mandioca";"Milho (em grão)";"Soja (em grão)";"Cana-de-açúcar";"Mandioca";"Milho (em grão)";"Soja (em grão)";"Cana-de-açúcar";"Mandioca";"Milho (em grão)";"Soja (em grão)";"Cana-de-açúcar";"Mandioca";"Milho (em grão)";"Soja (em grão)";"Cana-de-açúcar";"Mandioca";"Milho (em grão)";"Soja (em grão)";"Cana-de-açúcar";"Mandioca";"Milho (em grão)";"Soja (em grão)";"Cana-de-açúcar";"Mandioca";"Milho (em grão)";"Soja (em grão)"
"Rondônia";"0,60";"4,58";"24,76";"19,19";"0,59";"4,76";"24,35";"20,86";"0,59";"4,30";"25,06";"22,86";"0,86";"4,91";"25,63";"31,22";"0,85";"4,33";"26,90";"33,50";"0,38";"4,25";"28,71";"38,17";"0,80";"4,79";"25,91";"40,49";"0,54";"4,27";"31,55";"41,00";"0,29";"3,78";"28,19";"45,80";"0,34";"3,01";"30,45";"46,56";"0,09";"2,78";"30,61";"48,75";"0,08";"2,20";"34,78";"47,16";"0,05";"1,97";"33,51";"50,90";"0,06";"1,65";"32,99";"54,55";"0,05";"1,57";"31,09";"56,48"
"Acre";"1,62";"32,92";"31,80";"0,08";"2,08";"37,89";"28,78";"0,07";"2,33";"35,33";"32,10";"-";"2,10";"34,02";"35,27";"0,04";"2,94";"36,45";"35,85";"0,34";"3,32";"35,59";"35,68";"-";"2,89";"37,19";"34,15";"0,09";"0,73";"36,29";"35,72";"0,13";"0,55";"34,21";"36,39";"0,58";"0,58";"33,66";"36,42";"2,01";"0,56";"31,11";"37,59";"4,13";"0,56";"27,34";"40,54";"7,11";"0,50";"24,34";"44,89";"7,30";"0,46";"22,69";"42,95";"12,63";"0,41";"22,43";"38,61";"18,01"
"Amazonas";"3,68";"47,86";"9,77";"0,13";"3,10";"49,90";"8,81";"0,11";"2,89";"51,35";"9,34";"0,14";"2,76";"54,21";"7,38";"0,01";"3,68";"59,44";"5,78";"-";"3,19";"59,21";"4,54";"-";"3,01";"65,48";"3,25";"-";"3,01";"65,72";"2,74";"-";"3,28";"64,05";"2,93";"-";"3,36";"65,26";"2,42";"2,12";"3,59";"64,45";"2,54";"2,27";"5,16";"63,55";"2,49";"2,66";"4,05";"62,80";"2,12";"5,00";"4,13";"53,63";"2,87";"7,20";"3,76";"45,66";"3,90";"15,82"
"Roraima";"1,05";"14,45";"15,96";"3,49";"0,94";"12,47";"12,69";"7,74";"0,87";"11,99";"12,20";"10,34";"0,76";"13,13";"9,91";"24,36";"0,62";"14,47";"10,44";"27,02";"0,44";"12,06";"8,02";"36,58";"0,39";"11,45";"8,28";"39,11";"0,41";"9,71";"11,54";"32,65";"0,21";"8,22";"12,08";"49,69";"0,26";"7,77";"11,79";"48,94";"0,21";"7,01";"14,78";"52,95";"0,13";"4,50";"17,34";"57,74";"0,13";"3,96";"10,44";"68,25";"0,11";"3,56";"7,83";"72,86";"0,09";"3,15";"10,76";"69,47"
"Pará";"1,04";"28,35";"19,28";"8,16";"1,20";"27,97";"20,03";"10,07";"1,24";"27,86";"19,97";"11,07";"1,20";"26,32";"19,24";"16,52";"1,07";"27,55";"16,42";"19,44";"0,91";"21,04";"15,58";"22,95";"0,85";"18,63";"12,60";"27,71";"0,73";"17,06";"15,47";"29,00";"0,79";"15,39";"13,35";"32,83";"0,83";"14,51";"14,35";"31,99";"0,74";"13,45";"15,96";"32,00";"0,69";"13,22";"16,77";"34,92";"0,76";"11,99";"17,54";"36,31";"0,69";"9,85";"19,08";"39,61";"0,62";"9,44";"16,92";"42,23"
"Amapá";"0,53";"45,16";"14,29";"-";"0,58";"50,32";"12,76";"-";"0,54";"52,32";"10,45";"-";"0,48";"42,48";"8,07";"16,23";"0,34";"35,14";"5,21";"38,36";"0,40";"37,09";"5,19";"33,01";"0,36";"32,62";"4,27";"41,01";"0,21";"30,89";"3,82";"45,40";"0,60";"27,58";"3,80";"51,39";"1,13";"27,89";"3,44";"50,94";"1,01";"27,38";"3,30";"52,43";"1,12";"37,42";"4,66";"23,83";"1,03";"41,88";"9,20";"23,91";"0,91";"36,57";"9,31";"29,84";"0,78";"40,80";"6,57";"27,46"
"Tocantins";"1,47";"2,80";"12,50";"53,00";"3,58";"2,48";"12,12";"55,61";"3,72";"2,24";"13,16";"56,37";"3,24";"1,87";"11,39";"63,93";"3,47";"1,16";"11,78";"69,26";"3,01";"1,15";"13,47";"68,97";"3,16";"1,25";"12,34";"69,03";"2,91";"1,03";"17,67";"65,67";"2,88";"1,13";"16,00";"66,00";"2,75";"1,01";"18,16";"63,43";"1,99";"0,96";"20,52";"62,30";"2,10";"0,94";"19,29";"64,15";"1,60";"0,87";"22,52";"62,27";"1,70";"0,70";"24,49";"61,88";"1,64";"0,65";"21,44";"64,81"
"Maranhão";"2,88";"11,99";"21,44";"28,22";"2,72";"11,61";"21,32";"29,67";"2,74";"10,86";"24,63";"30,72";"2,67";"10,18";"27,13";"30,23";"2,30";"9,38";"27,51";"33,78";"2,61";"9,50";"24,97";"41,61";"2,88";"8,21";"21,00";"49,46";"2,52";"5,62";"25,73";"45,34";"2,40";"4,45";"22,68";"50,92";"2,75";"3,53";"24,73";"56,78";"2,75";"3,28";"26,50";"55,90";"2,61";"3,04";"26,68";"56,52";"2,50";"2,72";"26,79";"57,26";"2,24";"2,48";"26,56";"59,05";"2,21";"2,29";"23,83";"62,60"
"Piauí";"1,05";"4,84";"23,51";"28,10";"1,10";"3,37";"25,25";"27,68";"1,24";"4,83";"21,37";"35,33";"1,11";"2,86";"20,72";"40,61";"0,99";"1,93";"25,29";"42,02";"1,01";"2,61";"25,04";"45,03";"1,14";"2,77";"30,53";"41,81";"0,96";"2,33";"28,35";"43,59";"0,91";"2,17";"27,86";"44,22";"0,98";"2,34";"27,02";"47,33";"0,97";"2,45";"28,18";"45,80";"1,03";"2,39";"29,06";"47,84";"0,95";"2,17";"30,96";"46,38";"0,91";"2,28";"29,76";"47,91";"0,93";"2,31";"22,15";"55,59"
"Ceará";"2,43";"6,18";"31,23";"0,06";"1,98";"4,08";"34,79";"-";"2,39";"5,30";"29,60";"0,07";"2,41";"4,83";"26,21";"-";"1,68";"4,04";"31,41";"-";"1,28";"3,92";"33,20";"-";"1,12";"4,10";"33,00";"-";"0,99";"3,70";"36,99";"-";"0,68";"4,26";"38,81";"0,01";"0,72";"4,44";"38,19";"-";"0,69";"4,23";"38,83";"0,03";"0,67";"4,06";"39,61";"0,10";"0,59";"4,58";"40,48";"0,15";"0,60";"4,62";"41,27";"0,34";"0,62";"5,20";"40,01";"0,25"
"Rio Grande do Norte";"20,41";"9,53";"6,35";"-";"14,07";"6,08";"17,16";"-";"23,77";"9,70";"2,07";"-";"24,32";"2,95";"7,05";"-";"22,83";"5,30";"8,11";"-";"25,98";"6,35";"4,91";"-";"29,60";"5,05";"3,77";"-";"26,34";"5,50";"5,66";"-";"21,40";"7,38";"13,00";"-";"20,34";"6,36";"17,51";"-";"20,76";"6,43";"17,58";"-";"25,18";"8,15";"10,44";"-";"22,63";"7,05";"17,46";"-";"21,34";"8,74";"15,42";"-";"21,07";"8,12";"15,32";"0,03"
"Paraíba";"32,14";"6,70";"19,12";"-";"21,64";"4,27";"28,68";"-";"49,65";"8,09";"6,06";"-";"41,05";"4,98";"14,86";"-";"36,26";"4,65";"20,29";"0,05";"41,87";"5,28";"15,91";"-";"36,93";"4,69";"20,52";"-";"31,30";"4,82";"23,11";"-";"28,12";"4,12";"25,23";"-";"29,58";"4,63";"23,80";"-";"27,22";"4,02";"26,48";"-";"32,77";"4,60";"23,82";"-";"29,52";"4,30";"26,67";"0,01";"31,70";"4,35";"25,94";"-";"30,60";"4,45";"26,52";"-"
"Pernambuco";"38,58";"7,09";"18,89";"-";"31,87";"4,37";"24,24";"-";"52,62";"8,05";"9,45";"-";"55,39";"6,58";"7,76";"-";"38,72";"4,35";"20,85";"-";"50,35";"7,14";"12,90";"-";"45,38";"4,53";"15,72";"-";"40,57";"3,87";"17,90";"-";"37,50";"6,09";"17,74";"-";"40,28";"7,36";"13,36";"-";"35,77";"6,54";"20,00";"-";"41,88";"6,37";"15,70";"0,04";"41,03";"5,31";"16,61";"-";"41,33";"7,62";"13,40";"0,02";"36,05";"7,32";"19,07";"-"
"Alagoas";"73,06";"3,44";"7,33";"-";"74,62";"3,10";"6,99";"-";"86,18";"4,16";"0,87";"-";"81,48";"3,34";"2,60";"-";"77,73";"3,78";"4,16";"-";"71,86";"5,27";"4,49";"0,06";"75,82";"6,27";"2,14";"0,08";"66,86";"7,11";"5,75";"0,09";"69,60";"8,07";"3,22";"0,26";"66,05";"7,83";"4,72";"0,68";"61,16";"8,60";"7,22";"0,28";"62,05";"8,59";"7,00";"0,71";"65,96";"8,90";"4,86";"0,81";"65,92";"7,63";"6,22";"1,32";"64,02";"8,63";"7,18";"1,18"
"Sergipe";"10,77";"7,53";"42,01";"-";"13,46";"8,56";"39,29";"-";"17,16";"10,49";"27,89";"-";"13,78";"7,96";"41,07";"-";"13,57";"7,50";"45,20";"-";"15,77";"7,13";"43,99";"-";"21,22";"7,78";"33,74";"-";"13,69";"5,59";"50,53";"-";"25,08";"7,56";"21,01";"-";"13,30";"4,40";"54,07";"-";"13,92";"4,00";"55,17";"-";"12,93";"3,72";"57,70";"-";"12,74";"4,16";"59,12";"-";"14,14";"4,04";"58,71";"-";"15,94";"3,89";"57,24";"-"
"Bahia";"2,13";"5,76";"15,93";"22,37";"2,54";"5,53";"13,68";"22,86";"2,97";"5,58";"10,17";"28,00";"2,80";"4,27";"13,59";"28,85";"2,59";"4,23";"14,34";"27,87";"2,16";"3,92";"14,50";"29,72";"2,51";"4,03";"10,61";"35,61";"2,01";"2,73";"13,05";"41,41";"1,85";"2,29";"13,00";"40,31";"1,84";"2,31";"13,64";"39,52";"1,83";"2,32";"14,10";"39,63";"1,76";"2,34";"14,04";"41,00";"1,74";"2,31";"14,83";"40,89";"1,71";"2,28";"14,40";"42,53";"1,66";"2,27";"13,19";"43,78"
"Minas Gerais";"15,53";"1,15";"24,33";"21,23";"16,91";"1,16";"23,94";"20,63";"17,32";"1,19";"24,45";"20,43";"17,24";"1,13";"23,40";"22,17";"17,38";"1,11";"23,70";"23,03";"17,08";"1,11";"22,86";"24,89";"16,92";"1,08";"20,51";"27,15";"17,31";"0,68";"20,12";"29,27";"17,28";"0,69";"19,29";"28,42";"16,96";"0,67";"19,49";"29,15";"17,33";"0,63";"19,30";"29,23";"16,45";"0,65";"19,44";"32,55";"15,64";"0,62";"20,89";"32,37";"15,84";"0,59";"18,39";"33,15";"16,73";"0,60";"16,34";"33,99"
"Espírito Santo";"11,75";"2,01";"4,06";"-";"11,02";"1,62";"4,96";"-";"10,68";"1,70";"4,61";"-";"11,25";"1,37";"3,66";"-";"11,60";"1,48";"3,27";"-";"11,90";"1,35";"2,04";"-";"11,06";"1,34";"2,14";"-";"8,58";"1,33";"2,25";"-";"7,85";"1,28";"2,49";"-";"8,13";"1,30";"2,34";"-";"7,65";"1,31";"2,27";"-";"9,22";"1,29";"2,38";"-";"8,79";"1,25";"2,60";"0,01";"8,72";"1,26";"3,00";"0,16";"8,66";"1,22";"2,70";"0,08"
"Rio de Janeiro";"61,02";"6,31";"3,23";"-";"54,61";"7,70";"3,82";"-";"56,48";"9,42";"2,95";"-";"57,35";"6,87";"2,99";"-";"54,16";"8,00";"2,69";"-";"53,54";"7,51";"1,60";"-";"45,80";"8,93";"2,27";"-";"47,04";"10,31";"2,42";"-";"48,23";"10,31";"2,25";"-";"47,23";"12,62";"1,57";"-";"47,15";"13,16";"1,47";"-";"53,07";"10,23";"1,74";"0,07";"52,64";"10,67";"2,10";"0,21";"50,03";"11,50";"1,86";"0,72";"51,02";"10,55";"1,41";"0,70"
"Guanabara";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"..."
"São Paulo";"65,40";"0,69";"10,08";"6,49";"66,01";"0,71";"10,13";"5,85";"65,64";"0,73";"10,62";"7,14";"66,67";"0,67";"10,12";"7,54";"66,90";"0,66";"9,34";"8,32";"65,61";"0,59";"9,59";"9,40";"64,80";"0,57";"10,03";"9,84";"64,47";"0,52";"10,00";"10,73";"63,78";"0,57";"9,94";"11,25";"62,37";"0,67";"9,55";"12,22";"62,23";"0,74";"9,15";"12,79";"62,11";"0,75";"7,73";"13,64";"60,63";"0,68";"9,16";"13,82";"59,62";"0,78";"8,98";"14,79";"59,70";"0,85";"8,00";"14,99"
"Paraná";"6,45";"1,77";"23,25";"46,15";"6,54";"1,88";"24,54";"46,40";"6,55";"1,59";"29,94";"44,53";"6,25";"1,51";"29,00";"46,20";"6,35";"1,47";"23,90";"46,81";"5,90";"1,50";"22,96";"49,35";"6,08";"1,38";"24,07";"50,92";"5,79";"1,31";"26,72";"49,34";"5,87";"1,48";"22,92";"51,46";"5,61";"1,34";"24,71";"50,81";"5,26";"1,35";"24,81";"50,94";"5,17";"1,30";"25,04";"50,22";"4,53";"1,07";"26,54";"49,20";"4,53";"1,19";"24,45";"50,25";"4,43";"1,22";"24,95";"50,96"
"Santa Catarina";"0,57";"1,80";"34,96";"26,45";"0,68";"1,69";"33,37";"28,15";"0,70";"1,87";"33,34";"29,05";"0,66";"1,79";"30,41";"32,73";"0,71";"1,45";"27,02";"34,68";"0,51";"1,39";"25,58";"38,48";"0,48";"1,32";"22,90";"42,00";"0,49";"1,38";"23,47";"42,75";"0,27";"1,20";"22,01";"44,54";"0,26";"1,12";"22,87";"44,19";"0,26";"1,11";"22,64";"44,03";"0,25";"1,07";"21,38";"43,91";"0,23";"0,91";"20,14";"45,12";"0,24";"0,87";"19,75";"46,51";"0,23";"0,85";"17,54";"48,29"
"Rio Grande do Sul";"0,46";"1,03";"14,55";"50,85";"0,40";"0,99";"13,53";"50,14";"0,38";"0,99";"12,60";"51,99";"0,32";"0,82";"11,51";"54,22";"0,27";"0,76";"10,24";"55,21";"0,22";"0,73";"9,56";"58,85";"0,20";"0,71";"8,32";"61,29";"0,18";"0,66";"9,17";"61,14";"0,17";"0,61";"7,75";"62,82";"0,16";"0,54";"8,32";"63,45";"0,15";"0,50";"7,81";"62,97";"0,14";"0,48";"7,80";"61,36";"0,13";"0,44";"7,48";"60,02";"0,11";"0,41";"7,65";"62,25";"0,11";"0,40";"7,70";"62,67"
"Mato Grosso do Sul";"12,29";"0,82";"26,90";"53,32";"14,41";"0,88";"28,05";"50,53";"14,64";"0,81";"32,61";"47,50";"14,89";"0,77";"35,64";"46,04";"14,05";"0,87";"35,02";"47,37";"11,50";"0,93";"35,45";"49,56";"13,44";"0,70";"34,26";"49,26";"12,53";"0,60";"34,68";"49,61";"12,45";"0,61";"34,74";"49,62";"12,57";"0,64";"34,24";"49,75";"11,19";"0,67";"33,12";"52,41";"10,90";"0,71";"31,70";"54,66";"9,12";"0,62";"34,35";"52,75";"9,08";"0,72";"32,93";"53,38";"9,33";"0,77";"30,45";"56,03"
"Mato Grosso";"2,25";"0,38";"21,34";"66,04";"2,28";"0,25";"19,33";"64,95";"2,18";"0,21";"24,21";"61,67";"2,22";"0,18";"26,78";"62,02";"2,04";"0,17";"24,58";"63,56";"2,05";"0,14";"25,30";"63,54";"1,93";"0,14";"26,13";"63,67";"1,75";"0,12";"30,70";"59,44";"1,83";"0,13";"28,47";"60,83";"1,78";"0,12";"30,22";"58,47";"1,54";"0,10";"30,95";"58,12";"1,39";"0,10";"32,35";"58,20";"1,19";"0,10";"33,48";"57,02";"1,12";"0,08";"34,95";"56,37";"1,12";"0,07";"32,82";"57,27"
"Goiás";"12,83";"0,47";"19,03";"54,23";"14,18";"0,37";"19,53";"52,05";"13,87";"0,35";"23,12";"50,55";"15,27";"0,18";"21,83";"52,32";"14,59";"0,20";"22,90";"51,78";"15,21";"0,21";"22,93";"53,32";"15,39";"0,22";"22,11";"54,73";"14,35";"0,21";"25,40";"51,80";"14,93";"0,20";"23,65";"52,25";"14,21";"0,18";"25,03";"51,04";"13,39";"0,17";"24,99";"51,63";"12,65";"0,16";"25,39";"52,63";"12,19";"0,15";"24,97";"53,96";"11,57";"0,15";"25,81";"53,95";"11,33";"0,13";"24,08";"55,10"
"Distrito Federal";"0,78";"0,68";"27,49";"46,58";"0,69";"0,56";"25,49";"42,98";"0,53";"0,68";"36,65";"40,81";"0,33";"0,96";"38,94";"38,42";"0,27";"0,64";"40,74";"41,14";"0,28";"0,58";"40,61";"42,87";"0,18";"0,68";"42,16";"42,59";"0,23";"0,65";"40,11";"42,97";"0,12";"0,76";"38,57";"43,36";"0,13";"0,76";"39,04";"45,76";"0,12";"0,73";"35,68";"43,43";"0,12";"0,75";"35,96";"47,95";"0,17";"0,72";"34,50";"48,41";"0,12";"0,71";"31,54";"48,31";"0,11";"0,47";"27,94";"44,81"
"Fonte: IBGE - Produção Agrícola Municipal"

"Tabela 5457 - Área plantada ou destinada à colheita, área colhida, quantidade produzida, rendimento médio e valor da produção das lavouras temporárias e permanentes"
"Variável - Quantidade produzida (Toneladas)"
"Unidade da Federação";"Ano x Produto das lavouras temporárias e permanentes"
"Unidade da Federação";"2010";;;;"2011";;;;"2012";;;;"2013";;;;"2014";;;;"2015";;;;"2016";;;;"2017";;;;"2018";;;;"2019";;;;"2020";;;;"2021";;;;"2022";;;;"2023";;;;"2024"
"Unidade da Federação";"Cana-de-açúcar";"Mandioca";"Milho (em grão)";"Soja (em grão)";"Cana-de-açúcar";"Mandioca";"Milho (em grão)";"Soja (em grão)";"Cana-de-açúcar";"Mandioca";"Milho (em grão)";"Soja (em grão)";"Cana-de-açúcar";"Mandioca";"Milho (em grão)";"Soja (em grão)";"Cana-de-açúcar";"Mandioca";"Milho (em grão)";"Soja (em grão)";"Cana-de-açúcar";"Mandioca";"Milho (em grão)";"Soja (em grão)";"Cana-de-açúcar";"Mandioca";"Milho (em grão)";"Soja (em grão)";"Cana-de-açúcar";"Mandioca";"Milho (em grão)";"Soja (em grão)";"Cana-de-açúcar";"Mandioca";"Milho (em grão)";"Soja (em grão)";"Cana-de-açúcar";"Mandioca";"Milho (em grão)";"Soja (em grão)";"Cana-de-açúcar";"Mandioca";"Milho (em grão)";"Soja (em grão)";"Cana-de-açúcar";"Mandioca";"Milho (em grão)";"Soja (em grão)";"Cana-de-açúcar";"Mandioca";"Milho (em grão)";"Soja (em grão)";"Cana-de-açúcar";"Mandioca";"Milho (em grão)";"Soja (em grão)";"Cana-de-açúcar";"Mandioca";"Milho (em grão)";"Soja (em grão)"
"Rondônia";"233527";"505004";"365980";"385388";"218975";"513515";"340045";"419522";"221870";"472207";"534423";"470485";"309620";"446724";"449449";"574900";"334636";"531829";"542279";"614678";"159383";"573960";"787093";"748429";"339481";"664928";"602411";"759928";"236736";"658268";"933956";"913454";"71962";"583319";"735150";"1000311";"111336";"521258";"1004717";"1190195";"30643";"503922";"1036905";"1348724";"24528";"417748";"1232783";"1352087";"17807";"404950";"1485546";"1750249";"21173";"374483";"1705199";"2131535";"19095";"361016";"1721713";"2221610"
"Acre";"107251";"849667";"81125";"330";"179044";"939032";"81793";"282";"199370";"897160";"96687";"-";"152345";"939178";"124536";"154";"188976";"1239731";"104984";"1095";"197376";"1122578";"94483";"-";"117244";"1125439";"82329";"150";"20229";"897895";"89244";"261";"11989";"667700";"80631";"1410";"12119";"628422";"75412";"5051";"11822";"575102";"83819";"10380";"12439";"532059";"105885";"20156";"11896";"503862";"135276";"22667";"11457";"496716";"139065";"45732";"10198";"495940";"119066";"60554"
"Amazonas";"341186";"778217";"34880";"540";"302895";"966341";"35945";"540";"304751";"926297";"36697";"660";"288550";"940975";"27610";"60";"302066";"846884";"21430";"-";"232389";"801299";"16816";"-";"224429";"924899";"9929";"-";"241073";"964525";"8852";"-";"252734";"889002";"8114";"-";"284685";"876452";"6683";"7500";"305363";"890124";"6824";"8000";"287472";"827060";"6363";"10000";"360899";"828114";"5593";"13740";"357257";"633017";"8265";"23455";"260873";"760516";"17440";"70057"
"Roraima";"1455";"77119";"12800";"3920";"1383";"77190";"11800";"10080";"1300";"77190";"11800";"14000";"4460";"140342";"15438";"40200";"2808";"129850";"15350";"33950";"3975";"176754";"15528";"55795";"3008";"151486";"17013";"67347";"2975";"122987";"41374";"45077";"2031";"79510";"44648";"105780";"2090";"82792";"50390";"110090";"2290";"85520";"79128";"139550";"2586";"58210";"114159";"225398";"3135";"70070";"97870";"346647";"3035";"75732";"79774";"445076";"2325";"71682";"111098";"416650"
"Pará";"668738";"4596083";"519258";"243616";"715152";"4647552";"541128";"317093";"750378";"4617543";"604799";"373398";"935020";"4621692";"613546";"506347";"921704";"4914831";"590078";"736947";"918297";"4695735";"759662";"1022677";"918560";"4263013";"643008";"1304598";"859683";"4234797";"872065";"1632115";"925527";"3836215";"790965";"1638469";"1029044";"3711214";"827720";"1781672";"1014244";"3813369";"893065";"1990794";"1028940";"4053932";"1122835";"2232499";"1209679";"4157308";"1240534";"2574954";"1209026";"3769677";"1739135";"3156487";"1213359";"3966227";"1759249";"3751973"
"Amapá";"4146";"138254";"3233";"-";"3428";"137141";"2466";"-";"3645";"149355";"2120";"-";"3885";"134720";"2011";"12906";"4381";"159650";"1958";"40792";"4480";"156875";"1650";"29370";"4560";"148650";"1517";"42351";"3107";"166580";"1564";"54400";"5988";"105648";"1155";"57239";"11038";"108530";"1138";"46862";"10325";"112244";"1150";"47818";"8153";"113506";"1186";"17956";"6997";"119197";"2350";"18035";"5315";"95110";"2217";"19536";"4845";"108531";"1818";"20300"
"Tocantins";"715317";"337026";"282475";"991326";"2164861";"316090";"312213";"1193453";"1859109";"281728";"370940";"1276928";"2074454";"244312";"350669";"1557939";"2805957";"220232";"452126";"2094100";"2855536";"260194";"639736";"2418367";"2974039";"260582";"531685";"1922508";"2935119";"229216";"841957";"2410207";"3104359";"262427";"812816";"2606036";"3106411";"225763";"1085843";"2615178";"2379054";"234915";"1430951";"3004239";"2284081";"265699";"1441960";"3477152";"2534723";"256987";"1936933";"3785386";"3072997";"242167";"2398750";"4340578";"2948442";"237771";"2163958";"4343438"
