"Tabela 5457 - Área plantada ou destinada à colheita, área colhida, quantidade produzida, rendimento médio e valor da produção das lavouras temporárias e permanentes"
"Variável - Área plantada ou destinada à colheita (Hectares)"
"Unidade da Federação";"Ano x Produto das lavouras temporárias e permanentes"
"Unidade da Federação";"2010";;;;"2011";;;;"2012";;;;"2013";;;;"2014";;;;"2015";;;;"2016";;;;"2017";;;;"2018";;;;"2019";;;;"2020";;;;"2021";;;;"2022";;;;"2023";;;;"2024"
"Unidade da Federação";"Cana-de-açúcar";"Mandioca";"Milho (em grão)";"Soja (em grão)";"Cana-de-açúcar";"Mandioca";"Milho (em grão)";"Soja (em grão)";"Cana-de-açúcar";"Mandioca";"Milho (em grão)";"Soja (em grão)";"Cana-de-açúcar";"Mandioca";"Milho (em grão)";"Soja (em grão)";"Cana-de-açúcar";"Mandioca";"Milho (em grão)";"Soja (em grão)";"Cana-de-açúcar";"Mandioca";"Milho (em grão)";"Soja (em grão)";"Cana-de-açúcar";"Mandioca";"Milho (em grão)";"Soja (em grão)";"Cana-de-açúcar";"Mandioca";"Milho (em grão)";"Soja (em grão)";"Cana-de-açúcar";"Mandioca";"Milho (em grão)";"Soja (em grão)";"Cana-de-açúcar";"Mandioca";"Milho (em grão)";"Soja (em grão)";"Cana-de-açúcar";"Mandioca";"Milho (em grão)";"Soja (em grão)";"Cana-de-açúcar";"Mandioca";"Milho (em grão)";"Soja (em grão)";"Cana-de-açúcar";"Mandioca";"Milho (em grão)";"Soja (em grão)";"Cana-de-açúcar";"Mandioca";"Milho (em grão)";"Soja (em grão)";"Cana-de-açúcar";"Mandioca";"Milho (em grão)";"Soja (em grão)"
"São Paulo";"5071205";"53300";"774864";"495833";"5216491";"56245";"804541";"488342";"5197942";"57909";"838729";"562648";"5415013";"54051";"820221";"610452";"5566584";"55303";"779697";"693592";"5576838";"50110";"808374";"792081";"5590586";"49133";"866512";"848839";"5686134";"46082";"882763";"946540";"5517302";"49707";"861700";"973124";"5540511";"59171";"844611";"1080541";"5515801";"65264";"810287";"1132965";"5473240";"65804";"681655";"1199351";"5502458";"61540";"832407";"1252070";"5496459";"71454";"827274";"1360285";"5445273";"76747";"747217";"1388333"
"Paraná";"625885";"172214";"2257031";"4479869";"641765";"184291";"2470174";"4555312";"655509";"159115";"3011730";"4456805";"645280";"156198";"3014302";"4762522";"681152";"157211";"2559669";"5011232";"626375";"159556";"2439400";"5240402";"656903";"148598";"2584083";"5454739";"644108";"139336";"2836152";"5237389";"613484";"154586";"2404747";"5377897";"596978";"142854";"2632187";"5418814";"571873";"147080";"2696231";"5534843";"567806";"142707";"2856885";"5521183";"521038";"123041";"3073180";"5683194";"519906";"136971";"2803150";"5762069";"501613";"138001";"2827906";"5773424"
"Santa Catarina";"9528";"29929";"582221";"440459";"11129";"27478";"542420";"457422";"10845";"29055";"525257";"452349";"10581";"28564";"484450";"521339";"11446";"23397";"442643";"560098";"8030";"22178";"404487";"608641";"7628";"20716";"360341";"660764";"7628";"21459";"364414";"667892";"4022";"18225";"332921";"673700";"3849";"16927";"344237";"665548";"3919";"16783";"342869";"664795";"3917";"16875";"338887";"688980";"3877";"15164";"337104";"754520";"3931";"14587";"329571";"776923";"3785";"14636";"294946";"814633"
"Rio Grande do Sul";"35970";"81714";"1151397";"4021778";"32694";"80342";"1100309";"4075389";"30760";"80771";"1119220";"4269247";"27670";"72631";"1033728";"4727833";"24593";"70485";"925514";"4990042";"19508";"66154";"854793";"5263899";"17828";"64026";"740510";"5464084";"16737";"60001";"831221";"5541860";"15691";"55205";"706160";"5709084";"14782";"49473";"763097";"5843533";"14538";"47864";"751573";"5995871";"14239";"47627";"780142";"6107620";"13171";"45952";"784000";"6387670";"12099";"43715";"822596";"6642140";"11605";"42893";"808916";"6708397"
"Mato Grosso do Sul";"399408";"26690";"873861";"1732492";"495821";"30338";"999884";"1761910";"558664";"30902";"1244808";"1814136";"642686";"33068";"1543570";"1987296";"639899";"39730";"1595232";"2158704";"546099";"48025";"1681672";"2350927";"658282";"34719";"1686337";"2448330";"661906";"31805";"1832510";"2620857";"680611";"33295";"1907544";"2713062";"727753";"37360";"1983941";"2882107";"666447";"39935";"1973409";"3121522";"673388";"43834";"2150745";"3377042";"631539";"43246";"2386159";"3694468";"660722";"52083";"2395909";"3884468";"672530";"55556";"2216501";"4043539"
"Mato Grosso";"212498";"35466";"2014192";"6227044";"226993";"25067";"1922621";"6455871";"246298";"23891";"2740833";"6980690";"282741";"23236";"3416701";"7931905";"284153";"22566";"3349650";"8628608";"291100";"20489";"3570606";"8983683";"280191";"19799";"3900268";"9147863";"279282";"19103";"4784837";"9287302";"286180";"20218";"4418507";"9437888";"297100";"19887";"5026449";"9724213";"265149";"17826";"5318762";"9989649";"251025";"17864";"5808096";"10461712";"229199";"18440";"6416967";"10925226";"239366";"17973";"7429526";"11981285";"245057";"14662";"7078785";"12383077"
"Goiás";"578666";"21157";"858301";"2445600";"697541";"18315";"960792";"2565608";"732870";"18459";"1221160";"2669894";"860482";"9995";"1229994";"2947957";"894843";"12506";"1404928";"3176995";"930052";"12721";"1409102";"3263118";"931242";"13118";"1574541";"3322522";"922717";"13292";"1635950";"3332208";"947391";"12706";"1501508";"3316568";"946985";"12339";"1668937";"3402810";"928046";"11949";"1733660";"3577700";"930954";"11440";"1882705";"3857007";"933105";"11657";"1942588";"4121969";"978329";"12486";"2181640";"4560730";"1026487";"11540";"2159485";"4942088"
"Distrito Federal";"923";"814";"32702";"55402";"883";"720";"32532";"54854";"717";"924";"49442";"55050";"450";"1309";"53218";"52500";"470";"1124";"71296";"72000";"456";"936";"65222";"68862";"296";"1128";"70163";"70875";"375";"1059";"65334";"70000";"205";"1250";"63600";"71500";"205";"1250";"64000";"75000";"205";"1250";"61200";"74500";"205";"1250";"60000";"80000";"287";"1250";"60000";"84200";"205";"1250";"55500";"85000";"205";"883";"53000";"85000"
"Fonte: IBGE - Produção Agrícola Municipal"

"Tabela 5457 - Área plantada ou destinada à colheita, área colhida, quantidade produzida, rendimento médio e valor da produção das lavouras temporárias e permanentes"
"Variável - Área plantada ou destinada à colheita - percentual do total geral"
"Unidade da Federação";"Ano x Produto das lavouras temporárias e permanentes"
"Unidade da Federação";"2010";;;;"2011";;;;"2012";;;;"2013";;;;"2014";;;;"2015";;;;"2016";;;;"2017";;;;"2018";;;;"2019";;;;"2020";;;;"2021";;;;"2022";;;;"2023";;;;"2024"
"Unidade da Federação";"Cana-de-açúcar";"Mandioca";"Milho (em grão)";"Soja (em grão)";"Cana-de-açúcar";"Mandioca";"Milho (em grão)";"Soja (em grão)";"Cana-de-açúcar";"Mandioca";"Milho (em grão)";"Soja (em grão)";"Cana-de-açúcar";"Mandioca";"Milho (em grão)";"Soja (em grão)";"Cana-de-açúcar";"Mandioca";"Milho (em grão)";"Soja (em grão)";"Cana-de-açúcar";"Mandioca";"Milho (em grão)";"Soja (em grão)";"Cana-de-açúcar";"Mandioca";"Milho (em grão)";"Soja (em grão)";"Cana-de-açúcar";"Mandioca";"Milho (em grão)";"Soja (em grão)";"Cana-de-açúcar";"Mandioca";"Milho (em grão)";"Soja (em grão)";"Cana-de-açúcar";"Mandioca";"Milho (em grão)";"Soja (em grão)";"Cana-de-açúcar";"Mandioca";"Milho (em grão)";"Soja (em grão)";"Cana-de-açúcar";"Mandioca";"Milho (em grão)";"Soja (em grão)";"Cana-de-açúcar";"Mandioca";"Milho (em grão)";"Soja (em grão)";"Cana-de-açúcar";"Mandioca";"Milho (em grão)";"Soja (em grão)";"Cana-de-açúcar";"Mandioca";"Milho (em grão)";"Soja (em grão)"
"Rondônia";"0,59";"4,57";"25,93";"18,82";"0,51";"4,14";"21,71";"17,91";"0,59";"4,28";"25,08";"22,76";"0,84";"4,85";"25,28";"30,69";"0,84";"4,42";"26,69";"33,78";"0,39";"4,24";"28,67";"38,07";"0,79";"4,65";"26,64";"39,31";"0,55";"4,25";"31,46";"40,85";"0,29";"3,77";"28,20";"45,76";"0,34";"3,01";"30,42";"46,51";"0,09";"2,76";"30,30";"48,24";"0,08";"2,20";"34,83";"47,12";"0,05";"1,97";"33,50";"50,89";"0,06";"1,66";"32,97";"54,55";"0,05";"1,55";"30,83";"56,74"
"Acre";"2,15";"31,91";"30,88";"0,08";"2,01";"37,38";"27,86";"0,06";"2,10";"39,82";"29,83";"-";"2,08";"33,96";"34,78";"0,05";"2,80";"35,50";"36,51";"0,32";"3,06";"35,76";"35,92";"-";"2,87";"37,12";"33,91";"0,09";"2,42";"35,21";"34,66";"0,13";"0,61";"33,43";"35,32";"0,56";"0,63";"32,54";"35,37";"2,03";"0,60";"30,30";"36,61";"4,02";"0,58";"26,58";"39,41";"7,15";"0,52";"23,72";"43,84";"7,12";"0,48";"22,60";"41,89";"12,32";"0,42";"22,10";"37,89";"17,70"
"Amazonas";"3,06";"50,54";"7,89";"0,10";"2,77";"50,81";"7,70";"0,10";"2,45";"50,71";"7,75";"0,12";"2,37";"54,49";"6,38";"0,01";"3,37";"58,53";"5,47";"-";"3,07";"58,11";"5,30";"-";"2,91";"64,38";"3,17";"-";"2,95";"64,74";"2,77";"-";"3,22";"63,45";"2,93";"-";"3,22";"65,14";"2,35";"2,03";"3,47";"64,79";"2,49";"2,19";"5,02";"63,34";"2,48";"2,58";"3,98";"62,51";"2,13";"4,92";"3,89";"54,33";"2,74";"6,77";"3,68";"46,11";"3,89";"15,48"
"Roraima";"1,33";"14,82";"15,41";"3,32";"1,14";"13,69";"13,09";"7,25";"1,09";"13,04";"12,46";"9,59";"0,76";"13,18";"9,71";"23,87";"0,63";"14,50";"10,22";"26,47";"0,44";"11,98";"7,97";"36,35";"0,38";"11,23";"8,00";"37,48";"0,41";"9,64";"11,34";"32,06";"0,21";"8,25";"12,05";"49,58";"0,26";"7,77";"11,79";"48,94";"0,21";"7,01";"14,78";"52,95";"0,13";"4,50";"17,34";"57,74";"0,13";"3,96";"10,44";"68,25";"0,11";"3,56";"7,83";"72,86";"0,09";"3,14";"10,72";"69,21"
"Pará";"1,04";"28,35";"19,41";"8,14";"1,20";"27,97";"20,03";"10,08";"1,24";"27,86";"19,96";"11,06";"1,20";"26,30";"19,23";"16,51";"1,07";"27,52";"16,40";"19,43";"0,91";"21,04";"15,58";"22,94";"0,85";"18,61";"12,66";"27,67";"0,73";"17,02";"15,44";"28,94";"0,79";"15,59";"13,31";"32,74";"0,82";"14,99";"14,24";"31,74";"0,74";"13,68";"15,91";"31,91";"0,69";"13,24";"16,77";"34,91";"0,76";"12,03";"17,53";"36,29";"0,69";"9,98";"19,04";"39,54";"0,62";"9,49";"16,88";"42,16"
"Amapá";"0,51";"45,30";"14,18";"-";"0,51";"51,56";"12,31";"-";"0,53";"51,85";"10,53";"-";"0,48";"42,33";"8,07";"16,18";"0,39";"33,59";"4,98";"39,89";"0,41";"37,17";"5,09";"32,94";"0,36";"31,91";"4,44";"41,01";"0,22";"30,65";"3,97";"45,08";"0,67";"27,55";"3,82";"51,05";"1,17";"27,12";"3,34";"52,17";"1,02";"27,24";"3,38";"52,48";"1,17";"37,30";"4,72";"23,70";"1,03";"41,82";"9,19";"23,86";"0,91";"37,94";"9,16";"28,39";"0,80";"40,83";"6,56";"27,34"
"Tocantins";"1,61";"3,11";"12,42";"52,67";"3,58";"2,48";"12,12";"55,61";"3,72";"2,24";"13,15";"56,34";"3,28";"1,87";"11,38";"63,91";"3,47";"1,16";"11,77";"69,24";"3,02";"1,15";"13,46";"68,96";"3,07";"1,22";"13,08";"68,62";"2,91";"1,03";"17,67";"65,66";"2,88";"1,13";"16,00";"66,00";"2,75";"1,01";"18,16";"63,43";"1,99";"0,98";"20,51";"62,29";"2,10";"0,96";"19,27";"64,14";"1,59";"0,88";"22,40";"61,91";"1,70";"0,72";"24,49";"61,86";"1,64";"0,67";"21,40";"64,87"
