codigo_estacao,nome_estacao,estado_uf,latitude,longitude,altitude,data_inicio_operacao,situacao_status,tipo_estacao,entidade_responsavel,eh_capital,codigo_distrito,codigo_oscar,codigo_wsi
A771,SAO PAULO - INTERLAGOS,SP,-23.72444443,-46.67749999,771,2018-03-13T21:00:00.000-03:00,Operante,Automatica,INMET,N,07,0-2000-0-86909,0-76-0-3550308000000573
A701,SAO PAULO - MIRANTE,SP,-23.4962888,-46.6200666,785.64,2006-07-24T21:00:00.000-03:00,Operante,Automatica,INMET,N,07,0-2000-0-86910,0-76-0-3550308000000089
A345,SAO RAIMUNDO NONATO,PI,-9.03305554,-42.70111111,385,2008-02-26T21:00:00.000-03:00,Pane,Automatica,INMET,,03,0-2000-0-81989,0-76-0-2210607000000294
A547,SAO ROMAO,MG,-16.36277777,-45.12388888,490.29,2007-06-29T21:00:00.000-03:00,Pane,Automatica,INMET,N,05,0-2000-0-86739,0-76-0-3164209000000218
A561,SAO SEBASTIAO DO PARAISO,MG,-20.91,-47.11416666,845,2015-08-16T21:00:00.000-03:00,Pane,Automatica,INMET,N,05,0-2000-0-86811,0-76-0-3164704000000501
A011,SAO SIMAO,GO,-18.96916666,-50.63333333,492.45,2006-07-14T21:00:00.000-03:00,Operante,Automatica,INMET,N,10,0-2000-0-86773,0-76-0-5220405000000084
A770,SAO SIMAO,SP,-21.46111111,-47.57944443,620,2019-07-02T21:00:00.000-03:00,Operante,Automatica,INMET,N,07,0-2000-0-84828,0-76-0-3550902000000592
A889,SAO VICENTE DO SUL,RS,-29.70222222,-54.69444444,134,2016-04-05T21:00:00.000-03:00,Pane,Automatica,INMET,N,08,0-2000-0-84802,0-76-0-4319802000000511
A911,SAPEZAL,MT,-13.30388888,-58.76333333,105,2017-10-19T21:00:00.000-03:00,Operante,Automatica,INMET,N,09,0-2000-0-86667,0-76-0-5107875000000563
B809,SAPUCAIA DO SUL,RS,-29.81388888,-51.15666666,23,2025-04-30T21:00:00.000-03:00,Operante,Automatica,INMET,N,08,,0-76-0-4320008000000604
A667,SAQUAREMA - SAMPAIO CORREIA,RJ,-22.8711111,-42.60888888,26,2015-09-01T21:00:00.000-03:00,Operante,Automatica,INMET,N,06,0-2000-0-86885,0-76-0-3305505000000507
A428,SENHOR DO BONFIM,BA,-10.44305555,-40.14833333,532.09,2008-03-26T21:00:00.000-03:00,Operante,Automatica,INMET,N,04,0-2000-0-86611,0-76-0-2930105000000322
